Name,Constituency,Party
"Hardy, Emmaÿ(Labour)",Kingston upon Hull West and Hessle,Labour
"Harman, Ms Harrietÿ(Labour)",Camberwell and Peckham,Labour
"Harper, Mr Markÿ(Conservative)",Forest of Dean,Conservative
"Harrington, Richardÿ(Conservative)",Watford,Conservative
"Harris, Carolynÿ(Labour)",Swansea East,Labour
"Harris, Rebeccaÿ(Conservative)",Castle Point,Conservative
"Harrison, Trudyÿ(Conservative)",Copeland,Conservative
"Hart, Simonÿ(Conservative)",Carmarthen West and South Pembrokeshire,Conservative
"Hayes, Helenÿ(Labour)",Dulwich and West Norwood,Labour
"Hayes, Mr Johnÿ(Conservative)",South Holland and The Deepings,Conservative
"Hayman, Sueÿ(Labour)",Workington,Labour
"Hazzard, Chrisÿ(Sinn F‚in)",South Down,Sinn F‚in
"Heald, Sir Oliverÿ(Conservative)",North East Hertfordshire,Conservative
"Healey, Johnÿ(Labour)",Wentworth and Dearne,Labour
"Heappey, Jamesÿ(Conservative)",Wells,Conservative
"Heaton-Harris, Chris(Conservative)",Daventry,Conservative
"Heaton-Jones, Peterÿ(Conservative)",North Devon,Conservative
"Henderson, Gordonÿ(Conservative)",Sittingbourne and Sheppey,Conservative
"Hendrick, Mr Markÿ(Labour (Co-op))",Preston,Labour (Co-op)
"Hendry, Drewÿ(Scottish National Party)","Inverness, Nairn, Badenoch and Strathspey",Scottish National Party
"Hepburn, Mr Stephenÿ(Labour)",Jarrow,Labour
"Herbert, Nickÿ(Conservative)",Arundel and South Downs,Conservative
"Hermon, Ladyÿ(Independent)",North Down,Independent
"Hill, Mikeÿ(Labour)",Hartlepool,Labour
"Hillier, Megÿ(Labour (Co-op))",Hackney South and Shoreditch,Labour (Co-op)
"Hinds, Damianÿ(Conservative)",East Hampshire,Conservative
"Hoare, Simonÿ(Conservative)",North Dorset,Conservative
"Hobhouse, Weraÿ(Liberal Democrat)",Bath,Liberal Democrat
"Hodge, Dame Margaretÿ(Labour)",Barking,Labour
"Hodgson, Mrs Sharonÿ(Labour)",Washington and Sunderland West,Labour
"Hoey, Kateÿ(Labour)",Vauxhall,Labour
"Hollern, Kateÿ(Labour)",Blackburn,Labour
"Hollingbery, Georgeÿ(Conservative)",Meon Valley,Conservative
"Hollinrake, Kevinÿ(Conservative)",Thirsk and Malton,Conservative
"Hollobone, Mr Philipÿ(Conservative)",Kettering,Conservative
"Holloway, Adamÿ(Conservative)",Gravesham,Conservative
"Hopkins, Kelvinÿ(Labour)",Luton North,Labour
"Hosie, Stewartÿ(Scottish National Party)",Dundee East,Scottish National Party
"Howarth, Mr Georgeÿ(Labour)",Knowsley,Labour
"Howell, Johnÿ(Conservative)",Henley,Conservative
"Hoyle, Mr Lindsayÿ(Labour)",Chorley,Labour
"Huddleston, Nigelÿ(Conservative)",Mid Worcestershire,Conservative
"Hughes, Eddieÿ(Conservative)",Walsall North,Conservative
"Hunt, Mr Jeremyÿ(Conservative)",South West Surrey,Conservative
"Huq, Dr Rupaÿ(Labour)",Ealing Central and Acton,Labour
"Hurd, Mr Nickÿ(Conservative)","Ruislip, Northwood and Pinner",Conservative
"Hussain, Imranÿ(Labour)",Bradford East,Labour
"Jack, Mr Alisterÿ(Conservative)",Dumfries and Galloway,Conservative
"James, Margotÿ(Conservative)",Stourbridge,Conservative
"Jardine, Christineÿ(Liberal Democrat)",Edinburgh West,Liberal Democrat
"Jarvis, Danÿ(Labour)",Barnsley Central,Labour
"Javid, Sajidÿ(Conservative)",Bromsgrove,Conservative
"Jayawardena, Mr Ranil(Conservative)",North East Hampshire,Conservative
"Jenkin, Mr Bernardÿ(Conservative)",Harwich and North Essex,Conservative
"Jenkyns, Andreaÿ(Conservative)",Morley and Outwood,Conservative
"Jenrick, Robertÿ(Conservative)",Newark,Conservative
"Johnson, Borisÿ(Conservative)",Uxbridge and South Ruislip,Conservative
"Johnson, Dr Caroline(Conservative)",Sleaford and North Hykeham,Conservative
"Johnson, Dianaÿ(Labour)",Kingston upon Hull North,Labour
"Johnson, Garethÿ(Conservative)",Dartford,Conservative
"Johnson, Josephÿ(Conservative)",Orpington,Conservative
"Jones, Andrewÿ(Conservative)",Harrogate and Knaresborough,Conservative
"Jones, Darrenÿ(Labour)",Bristol North West,Labour
"Jones, Mr Davidÿ(Conservative)",Clwyd West,Conservative
"Jones, Geraldÿ(Labour)",Merthyr Tydfil and Rhymney,Labour
"Jones, Graham Pÿ(Labour)",Hyndburn,Labour
"Jones, Helenÿ(Labour)",Warrington North,Labour
"Jones, Mr Kevanÿ(Labour)",North Durham,Labour
"Jones, Mr Marcusÿ(Conservative)",Nuneaton,Conservative
"Jones, Sarahÿ(Labour)",Croydon Central,Labour
"Jones, Susan Elanÿ(Labour)",Clwyd South,Labour
"Kane, Mikeÿ(Labour)",Wythenshawe and Sale East,Labour
"Kawczynski, Danielÿ(Conservative)",Shrewsbury and Atcham,Conservative
"Keegan, Gillianÿ(Conservative)",Chichester,Conservative
"Keeley, Barbaraÿ(Labour)",Worsley and Eccles South,Labour
"Kendall, Lizÿ(Labour)",Leicester West,Labour
"Kennedy, Seemaÿ(Conservative)",South Ribble,Conservative
