Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB2 5JW,Yes,51.498623,-0.39273,511665,178967,TQ116789,1/1/1980 12:00:00 AM,,32,61,19
UB2 5JX,Yes,51.498254,-0.396676,511392,178920,TQ113789,1/1/1980 12:00:00 AM,,32,85,26
UB2 5JY,Yes,51.498877,-0.398196,511285,178987,TQ112789,1/1/1980 12:00:00 AM,,32,134,37
UB2 5LA,Yes,51.499854,-0.399285,511207,179094,TQ112790,1/1/1980 12:00:00 AM,,31,102,28
UB2 5LB,Yes,51.50019,-0.403452,510917,179125,TQ109791,1/1/1980 12:00:00 AM,,32,,
UB2 5LD,Yes,51.500956,-0.399621,511181,179216,TQ111792,1/1/1980 12:00:00 AM,,33,57,15
UB2 5LE,Yes,51.504499,-0.391652,511725,179622,TQ117796,1/1/1980 12:00:00 AM,,33,,
UB2 5LF,Yes,51.500805,-0.403027,510945,179194,TQ109791,1/1/1980 12:00:00 AM,,32,,
UB2 5LG,No,51.502246,-0.403193,510930,179354,TQ109793,1/1/1980 12:00:00 AM,7/1/2002 12:00:00 AM,31,,
UB2 5LH,Yes,51.501197,-0.396213,511417,179248,TQ114792,6/1/2005 12:00:00 AM,,32,13,5
UB2 5LJ,Yes,51.501098,-0.400705,511105,179230,TQ111792,1/1/1980 12:00:00 AM,,33,,
UB2 5LL,Yes,51.500872,-0.400655,511109,179205,TQ111792,7/1/1990 12:00:00 AM,,32,,
UB2 5LP,Yes,51.500535,-0.397792,511309,179172,TQ113791,1/1/1980 12:00:00 AM,,31,250,64
UB2 5LQ,No,51.49905,-0.402296,511000,179000,TQ109789,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,31,,
UB2 5LR,Yes,51.501155,-0.394413,511542,179246,TQ115792,1/1/1980 12:00:00 AM,,32,91,22
UB2 5LS,Yes,51.501565,-0.392871,511648,179294,TQ116792,1/1/1980 12:00:00 AM,,32,212,54
UB2 5LT,Yes,51.498316,-0.398547,511262,178924,TQ112789,1/1/1980 12:00:00 AM,,32,104,32
UB2 5LU,Yes,51.497956,-0.399193,511218,178883,TQ112788,1/1/1980 12:00:00 AM,,33,34,12
UB2 5LW,Yes,51.500774,-0.395536,511465,179202,TQ114792,1/1/1980 12:00:00 AM,,32,121,39
UB2 5NN,No,51.5075,-0.378483,512632,179976,TQ126799,1/1/1980 12:00:00 AM,1/1/2009 12:00:00 AM,33,,
UB2 5NP,No,51.500719,-0.402684,510969,179185,TQ109791,1/1/1991 12:00:00 AM,12/1/2008 12:00:00 AM,32,,
UB2 5NW,No,51.499949,-0.402264,511000,179100,TQ110790,8/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,32,,
UB2 5NX,Yes,51.499963,-0.384226,512252,179129,TQ122791,1/1/1980 12:00:00 AM,,34,140,35
UB2 5NY,No,51.497901,-0.387353,512040,178895,TQ120788,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,33,,
