Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA1 4SE,Yes,51.588617,-0.348646,514499,189043,TQ144890,1/1/1980 12:00:00 AM,,61
HA1 4SF,Yes,51.589472,-0.346796,514625,189141,TQ146891,1/1/1980 12:00:00 AM,,59
HA1 4SG,Yes,51.589209,-0.346618,514638,189112,TQ146891,1/1/1980 12:00:00 AM,,59
HA1 4SH,Yes,51.58726,-0.344293,514804,188899,TQ148888,7/1/1986 12:00:00 AM,,68
HA1 4SJ,Yes,51.587157,-0.344585,514784,188887,TQ147888,10/1/1985 12:00:00 AM,,69
HA1 4SL,Yes,51.588605,-0.3497,514426,189040,TQ144890,6/1/2000 12:00:00 AM,,60
HA1 4SN,No,51.583722,-0.349054,514483,188498,TQ144884,8/1/1993 12:00:00 AM,6/1/1999 12:00:00 AM,58
HA1 4SP,No,51.58347,-0.349078,514482,188470,TQ144884,8/1/1992 12:00:00 AM,12/1/1997 12:00:00 AM,58
HA1 4SQ,Yes,51.587444,-0.34967,514431,188911,TQ144889,1/1/1980 12:00:00 AM,,61
HA1 4SR,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2001 12:00:00 AM,5/1/2002 12:00:00 AM,57
HA1 4SS,Yes,51.591974,-0.34568,514696,189421,TQ146894,1/1/1980 12:00:00 AM,,55
HA1 4ST,Yes,51.591452,-0.344371,514788,189365,TQ147893,1/1/1980 12:00:00 AM,,55
HA1 4SU,Yes,51.590994,-0.345037,514743,189313,TQ147893,1/1/1980 12:00:00 AM,,55
HA1 4SW,No,51.590886,-0.345662,514700,189300,TQ147893,1/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,55
HA1 4SX,Yes,51.590268,-0.344573,514777,189233,TQ147892,1/1/1980 12:00:00 AM,,56
HA1 4SY,Yes,51.589506,-0.344095,514812,189149,TQ148891,1/1/1980 12:00:00 AM,,58
HA1 4SZ,Yes,51.588524,-0.34338,514864,189041,TQ148890,1/1/1980 12:00:00 AM,,65
HA1 4TA,Yes,51.587672,-0.342834,514904,188947,TQ149889,1/1/1980 12:00:00 AM,,67
HA1 4TB,Yes,51.587452,-0.342568,514923,188923,TQ149889,1/1/1980 12:00:00 AM,,67
HA1 4TD,Yes,51.586978,-0.344043,514822,188868,TQ148888,1/1/1980 12:00:00 AM,,69
HA1 4TE,Yes,51.587736,-0.343582,514852,188953,TQ148889,1/1/1980 12:00:00 AM,,67
HA1 4TF,Yes,51.588616,-0.344099,514814,189050,TQ148890,1/1/1980 12:00:00 AM,,62
HA1 4TG,Yes,51.588385,-0.345609,514710,189022,TQ147890,1/1/1980 12:00:00 AM,,62
HA1 4TH,Yes,51.588628,-0.346278,514663,189048,TQ146890,1/1/1980 12:00:00 AM,,61
HA1 4TJ,Yes,51.589458,-0.34453,514782,189143,TQ147891,1/1/1980 12:00:00 AM,,58
HA1 4TL,Yes,51.59032,-0.345091,514741,189238,TQ147892,1/1/1980 12:00:00 AM,,56
HA1 4TN,Yes,51.591337,-0.345761,514692,189350,TQ146893,1/1/1980 12:00:00 AM,,55
HA1 4TP,Yes,51.587088,-0.344833,514767,188879,TQ147888,3/1/1982 12:00:00 AM,,69
HA1 4TQ,Yes,51.587994,-0.348467,514513,188974,TQ145889,1/1/1980 12:00:00 AM,,63
HA1 4TR,Yes,51.595072,-0.342796,514888,189770,TQ148897,7/1/1990 12:00:00 AM,,57
HA1 4TS,Yes,51.588841,-0.347988,514544,189069,TQ145890,10/1/1985 12:00:00 AM,,61
HA1 4TT,No,51.589987,-0.345695,514700,189200,TQ147892,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,57
HA1 4TU,Yes,51.593816,-0.339824,515097,189635,TQ150896,3/1/1988 12:00:00 AM,,57
HA1 4TW,Yes,51.591527,-0.345884,514683,189371,TQ146893,1/1/1980 12:00:00 AM,,55
HA1 4TX,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,58
HA1 4TY,Yes,51.59325,-0.344999,514740,189564,TQ147895,1/1/1980 12:00:00 AM,,58
HA1 4TZ,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1998 12:00:00 AM,1/1/2001 12:00:00 AM,58
HA1 4UA,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,58
HA1 4UB,Yes,51.593501,-0.338594,515183,189602,TQ151896,1/1/1980 12:00:00 AM,,56
HA1 4UD,Yes,51.593302,-0.339092,515149,189579,TQ151895,1/1/1980 12:00:00 AM,,56
HA1 4UE,Yes,51.593212,-0.339774,515102,189568,TQ151895,1/1/1980 12:00:00 AM,,57
HA1 4UF,Yes,51.592841,-0.340235,515071,189526,TQ150895,1/1/1980 12:00:00 AM,,56
HA1 4UG,Yes,51.592793,-0.340627,515044,189520,TQ150895,1/1/1980 12:00:00 AM,,56
HA1 4UH,Yes,51.592945,-0.341863,514958,189535,TQ149895,1/1/1980 12:00:00 AM,,56
HA1 4UJ,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,58
HA1 4UL,No,51.58347,-0.349078,514482,188470,TQ144884,7/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,58
HA1 4UN,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1999 12:00:00 AM,2/1/2001 12:00:00 AM,58
HA1 4UP,Yes,51.5926,-0.34482,514754,189492,TQ147894,1/1/1980 12:00:00 AM,,56
HA1 4UQ,Yes,51.592971,-0.341111,515010,189539,TQ150895,1/1/1980 12:00:00 AM,,56
HA1 4UR,Yes,51.592761,-0.343457,514848,189512,TQ148895,1/1/1980 12:00:00 AM,,57
HA1 4US,Yes,51.585228,-0.329687,515821,188696,TQ158886,12/1/1999 12:00:00 AM,,57
HA1 4UT,Yes,51.592179,-0.341746,514968,189450,TQ149894,1/1/1980 12:00:00 AM,,54
HA1 4UU,Yes,51.591106,-0.340919,515028,189332,TQ150893,1/1/1980 12:00:00 AM,,56
HA1 4UW,Yes,51.592487,-0.345719,514692,189478,TQ146894,1/1/1980 12:00:00 AM,,56
HA1 4UX,Yes,51.592277,-0.342334,514927,189460,TQ149894,1/1/1980 12:00:00 AM,,55
HA1 4UY,Yes,51.592082,-0.343107,514874,189437,TQ148894,1/1/1980 12:00:00 AM,,55
HA1 4UZ,Yes,51.590221,-0.341269,515006,189233,TQ150892,1/1/1980 12:00:00 AM,,58
HA1 4WA,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2001 12:00:00 AM,5/1/2002 12:00:00 AM,57
HA1 4WB,No,51.585237,-0.329686,515821,188697,TQ158886,12/1/2001 12:00:00 AM,9/1/2005 12:00:00 AM,57
HA1 4WD,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2002 12:00:00 AM,6/1/2003 12:00:00 AM,57
