Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA3 5LB,Yes,51.604236,-0.348036,514502,190781,TQ145907,1/1/1980 12:00:00 AM,,74
HA3 5LD,Yes,51.604328,-0.346257,514625,190794,TQ146907,1/1/1980 12:00:00 AM,,74
HA3 5LE,Yes,51.604471,-0.343002,514850,190815,TQ148908,1/1/1980 12:00:00 AM,,70
HA3 5LF,Yes,51.603823,-0.340427,515030,190747,TQ150907,1/1/1980 12:00:00 AM,,72
HA3 5LG,Yes,51.603791,-0.342565,514882,190740,TQ148907,2/1/1990 12:00:00 AM,,69
HA3 5LN,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,62
HA3 5LP,Yes,51.597665,-0.344997,514729,190055,TQ147900,10/1/1985 12:00:00 AM,,59
HA3 5LR,Yes,51.598565,-0.346336,514634,190153,TQ146901,1/1/1980 12:00:00 AM,,61
HA3 5LS,Yes,51.599638,-0.348463,514484,190269,TQ144902,1/1/1980 12:00:00 AM,,63
HA3 5LT,Yes,51.59839,-0.346674,514611,190133,TQ146901,1/1/1980 12:00:00 AM,,61
HA3 5LU,Yes,51.599575,-0.349043,514444,190261,TQ144902,1/1/1980 12:00:00 AM,,63
HA3 5LW,No,51.599082,-0.342188,514920,190217,TQ149902,6/1/1996 12:00:00 AM,9/1/2000 12:00:00 AM,62
HA3 5LX,Yes,51.600188,-0.34915,514435,190329,TQ144903,1/1/1980 12:00:00 AM,,64
HA3 5LY,Yes,51.600651,-0.350736,514324,190378,TQ143903,1/1/1980 12:00:00 AM,,64
HA3 5ND,Yes,51.601344,-0.350798,514318,190455,TQ143904,1/1/1980 12:00:00 AM,,63
HA3 5NE,Yes,51.600841,-0.350224,514359,190400,TQ143904,1/1/1980 12:00:00 AM,,65
HA3 5NF,Yes,51.601576,-0.35001,514372,190482,TQ143904,1/1/1980 12:00:00 AM,,66
HA3 5NG,Yes,51.602072,-0.350757,514319,190536,TQ143905,1/1/1980 12:00:00 AM,,64
HA3 5NH,Yes,51.603459,-0.350924,514304,190690,TQ143906,1/1/1980 12:00:00 AM,,66
HA3 5NJ,Yes,51.603218,-0.350412,514340,190664,TQ143906,1/1/1980 12:00:00 AM,,68
HA3 5NL,Yes,51.603179,-0.351482,514266,190658,TQ142906,1/1/1980 12:00:00 AM,,65
HA3 5NQ,Yes,51.602628,-0.351343,514277,190597,TQ142905,1/1/1980 12:00:00 AM,,64
HA3 5NU,Yes,51.599395,-0.340155,515060,190255,TQ150902,1/1/1980 12:00:00 AM,,64
HA3 5NX,Yes,51.598836,-0.341922,514939,190190,TQ149901,1/1/1980 12:00:00 AM,,62
HA3 5NY,Yes,51.598196,-0.343115,514858,190117,TQ148901,1/1/1980 12:00:00 AM,,60
HA3 5NZ,Yes,51.598995,-0.342364,514908,190207,TQ149902,1/1/1980 12:00:00 AM,,62
HA3 5PA,Yes,51.598294,-0.343646,514821,190127,TQ148901,1/1/1980 12:00:00 AM,,59
HA3 5PB,Yes,51.597818,-0.344356,514773,190073,TQ147900,1/1/1980 12:00:00 AM,,59
HA3 5PD,No,51.597766,-0.343232,514851,190069,TQ148900,7/1/1986 12:00:00 AM,2/1/2003 12:00:00 AM,59
HA3 5PE,Yes,51.598267,-0.344297,514776,190123,TQ147901,1/1/1980 12:00:00 AM,,59
HA3 5PF,No,51.598076,-0.345401,514700,190100,TQ147901,8/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,59
HA3 5PH,Yes,51.599156,-0.345492,514691,190220,TQ146902,1/1/1980 12:00:00 AM,,61
HA3 5PJ,Yes,51.598948,-0.344763,514742,190198,TQ147901,1/1/1980 12:00:00 AM,,61
HA3 5PL,Yes,51.599009,-0.343389,514837,190207,TQ148902,1/1/1980 12:00:00 AM,,61
HA3 5PN,Yes,51.598675,-0.344527,514759,190168,TQ147901,1/1/1980 12:00:00 AM,,60
HA3 5PP,Yes,51.599871,-0.347747,514533,190296,TQ145902,1/1/1980 12:00:00 AM,,63
HA3 5PQ,Yes,51.598973,-0.345888,514664,190199,TQ146901,1/1/1980 12:00:00 AM,,61
HA3 5PR,Yes,51.60225,-0.348729,514459,190559,TQ144905,1/1/1980 12:00:00 AM,,67
HA3 5PS,Yes,51.602031,-0.349127,514432,190534,TQ144905,1/1/1980 12:00:00 AM,,67
HA3 5PT,Yes,51.602399,-0.347843,514520,190577,TQ145905,1/1/1980 12:00:00 AM,,67
HA3 5PU,Yes,51.601288,-0.346815,514594,190455,TQ145904,1/1/1980 12:00:00 AM,,63
HA3 5PW,Yes,51.599899,-0.347154,514574,190300,TQ145903,1/1/1980 12:00:00 AM,,62
HA3 5PX,Yes,51.602428,-0.347351,514554,190581,TQ145905,1/1/1980 12:00:00 AM,,67
HA3 5PY,Yes,51.603397,-0.347807,514520,190688,TQ145906,1/1/1980 12:00:00 AM,,71
HA3 5PZ,Yes,51.602589,-0.346017,514646,190601,TQ146906,1/1/1980 12:00:00 AM,,66
HA3 5QA,Yes,51.602524,-0.346495,514613,190593,TQ146905,1/1/1980 12:00:00 AM,,67
HA3 5QB,Yes,51.59716,-0.342301,514917,190003,TQ149900,5/1/1994 12:00:00 AM,,60
HA3 5QD,No,51.597759,-0.342698,514888,190069,TQ148900,1/1/1980 12:00:00 AM,5/1/2009 12:00:00 AM,60
HA3 5QG,No,51.598076,-0.345401,514700,190100,TQ147901,3/1/1982 12:00:00 AM,12/1/1986 12:00:00 AM,59
HA3 5QN,No,51.59903,-0.342305,514912,190211,TQ149902,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,62
HA3 5QP,No,51.599065,-0.342232,514917,190215,TQ149902,10/1/1984 12:00:00 AM,12/1/1998 12:00:00 AM,62
HA3 5QQ,No,51.602524,-0.346495,514613,190593,TQ146905,5/1/1994 12:00:00 AM,6/1/1997 12:00:00 AM,67
HA3 5QS,No,51.596958,-0.343911,514806,189978,TQ148899,12/1/1995 12:00:00 AM,4/1/2007 12:00:00 AM,59
HA3 5QU,Yes,51.594311,-0.337352,515267,189694,TQ152896,6/1/2005 12:00:00 AM,,56
HA3 5QW,No,51.599082,-0.342188,514920,190217,TQ149902,1/1/1993 12:00:00 AM,1/1/2001 12:00:00 AM,62
HA3 5QX,Yes,51.594498,-0.335973,515362,189717,TQ153897,1/1/1980 12:00:00 AM,,56
HA3 5QY,Yes,51.59429,-0.338421,515193,189690,TQ151896,1/1/1980 12:00:00 AM,,56
HA3 5QZ,Yes,51.59442,-0.338055,515218,189705,TQ152897,1/1/1980 12:00:00 AM,,56
HA3 5RA,Yes,51.594985,-0.339204,515137,189766,TQ151897,1/1/1980 12:00:00 AM,,57
HA3 5RB,Yes,51.595773,-0.340879,515019,189851,TQ150898,1/1/1980 12:00:00 AM,,58
HA3 5RD,No,51.594948,-0.339768,515098,189761,TQ150897,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,57
HA3 5RE,Yes,51.596401,-0.340784,515024,189921,TQ150899,1/1/1980 12:00:00 AM,,59
HA3 5RF,Yes,51.596785,-0.338705,515167,189967,TQ151899,1/1/1980 12:00:00 AM,,58
HA3 5RG,Yes,51.596286,-0.340283,515059,189909,TQ150899,1/1/1980 12:00:00 AM,,58
HA3 5RH,No,51.597707,-0.339047,515141,190069,TQ151900,1/1/1980 12:00:00 AM,2/1/2015 12:00:00 AM,61
HA3 5RJ,Yes,51.599404,-0.341425,514972,190254,TQ149902,1/1/1980 12:00:00 AM,,64
HA3 5RL,Yes,51.599497,-0.34096,515004,190265,TQ150902,1/1/1980 12:00:00 AM,,65
HA3 5RN,Yes,51.598581,-0.340416,515044,190164,TQ150901,1/1/1980 12:00:00 AM,,62
HA3 5RP,Yes,51.597063,-0.338666,515169,189998,TQ151899,1/1/1980 12:00:00 AM,,59
HA3 5RQ,Yes,51.598324,-0.340714,515024,190135,TQ150901,1/1/1980 12:00:00 AM,,61
HA3 5RR,No,51.597075,-0.338218,515200,190000,TQ152900,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,59
HA3 5RS,Yes,51.596787,-0.337536,515248,189969,TQ152899,1/1/1980 12:00:00 AM,,58
HA3 5RT,Yes,51.596204,-0.336431,515326,189906,TQ153899,1/1/1980 12:00:00 AM,,58
HA3 5RU,Yes,51.596232,-0.337094,515280,189908,TQ152899,1/1/1980 12:00:00 AM,,57
HA3 5RW,No,51.597095,-0.339661,515100,190000,TQ151900,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,59
HA3 5RX,Yes,51.594891,-0.337013,515289,189759,TQ152897,1/1/1980 12:00:00 AM,,57
HA3 5RY,Yes,51.595127,-0.337178,515277,189785,TQ152897,1/1/1980 12:00:00 AM,,57
HA3 5RZ,Yes,51.595641,-0.336625,515314,189843,TQ153898,1/1/1980 12:00:00 AM,,57
HA3 5SA,Yes,51.595409,-0.338019,515218,189815,TQ152898,1/1/1980 12:00:00 AM,,56
HA3 5SB,Yes,51.595618,-0.338185,515206,189838,TQ152898,1/1/1980 12:00:00 AM,,57
HA3 5SD,Yes,51.595959,-0.338764,515165,189875,TQ151898,1/1/1980 12:00:00 AM,,57
HA3 5SE,Yes,51.596177,-0.338929,515153,189899,TQ151898,1/1/1980 12:00:00 AM,,57
HA3 5SF,No,51.595277,-0.338284,515200,189800,TQ152898,1/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,56
HA3 5SG,No,51.596176,-0.338251,515200,189900,TQ152899,1/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,57
