Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE13 6ZZ,No,51.45277,-0.008339,538484,174524,TQ384745,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,30
SE13 7AA,Yes,51.460568,-0.01691,537865,175375,TQ378753,1/1/1980 12:00:00 AM,,14
SE13 7AB,Yes,51.46431,-0.019094,537702,175787,TQ377757,12/1/1995 12:00:00 AM,,18
SE13 7AD,Yes,51.460566,-0.017299,537838,175374,TQ378753,1/1/1980 12:00:00 AM,,14
SE13 7AE,Yes,51.458558,-0.017702,537816,175150,TQ378751,1/1/1980 12:00:00 AM,,11
SE13 7AF,Yes,51.459089,-0.017737,537812,175209,TQ378752,1/1/1980 12:00:00 AM,,11
SE13 7AG,Yes,51.457366,-0.019525,537693,175014,TQ376750,1/1/1980 12:00:00 AM,,15
SE13 7AH,Yes,51.457126,-0.020773,537607,174985,TQ376749,1/1/1980 12:00:00 AM,,16
SE13 7AJ,Yes,51.456899,-0.021704,537543,174958,TQ375749,1/1/1980 12:00:00 AM,,18
SE13 7AL,Yes,51.456862,-0.021101,537585,174955,TQ375749,1/1/1980 12:00:00 AM,,17
SE13 7AN,Yes,51.457862,-0.019633,537684,175069,TQ376750,1/1/1980 12:00:00 AM,,16
SE13 7AP,Yes,51.460151,-0.018281,537771,175326,TQ377753,1/1/1980 12:00:00 AM,,16
SE13 7AQ,Yes,51.46231,-0.017799,537798,175567,TQ377755,6/1/1999 12:00:00 AM,,15
SE13 7AR,Yes,51.462579,-0.018853,537724,175595,TQ377755,1/1/1980 12:00:00 AM,,17
SE13 7AS,Yes,51.462563,-0.018436,537753,175594,TQ377755,1/1/1980 12:00:00 AM,,16
