Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE6 3HR,Yes,51.4301,-0.025912,537331,171970,TQ373719,1/1/1980 12:00:00 AM,,27
SE6 3HS,Yes,51.430931,-0.027185,537240,172060,TQ372720,1/1/1980 12:00:00 AM,,25
SE6 3HT,Yes,51.428594,-0.025114,537391,171804,TQ373718,1/1/1980 12:00:00 AM,,34
SE6 3HU,Yes,51.429977,-0.023428,537504,171961,TQ375719,1/1/1980 12:00:00 AM,,25
SE6 3HW,No,51.430012,-0.02229,537583,171967,TQ375719,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,25
SE6 3HX,Yes,51.42953,-0.022498,537570,171913,TQ375719,1/1/1980 12:00:00 AM,,26
SE6 3HY,Yes,51.429613,-0.021603,537632,171924,TQ376719,1/1/1980 12:00:00 AM,,25
SE6 3HZ,Yes,51.430598,-0.021848,537612,172033,TQ376720,1/1/1980 12:00:00 AM,,25
SE6 3JA,Yes,51.430502,-0.023089,537526,172020,TQ375720,1/1/1980 12:00:00 AM,,24
SE6 3JB,Yes,51.430378,-0.02426,537445,172004,TQ374720,1/1/1980 12:00:00 AM,,25
SE6 3JG,Yes,51.437734,-0.024273,537422,172822,TQ374728,6/1/1996 12:00:00 AM,,20
SE6 3JL,Yes,51.437972,-0.024551,537402,172848,TQ374728,1/1/1980 12:00:00 AM,,19
SE6 3JN,Yes,51.436818,-0.02437,537418,172720,TQ374727,1/1/1980 12:00:00 AM,,21
SE6 3JP,Yes,51.436656,-0.023831,537456,172703,TQ374727,1/1/1980 12:00:00 AM,,21
SE6 3JQ,Yes,51.438513,-0.025679,537322,172906,TQ373729,5/1/1994 12:00:00 AM,,18
SE6 3JR,Yes,51.436173,-0.023952,537449,172649,TQ374726,1/1/1980 12:00:00 AM,,20
SE6 3JS,Yes,51.435004,-0.024506,537414,172518,TQ374725,1/1/1980 12:00:00 AM,,20
SE6 3JT,Yes,51.434677,-0.025355,537356,172480,TQ373724,1/1/1980 12:00:00 AM,,21
SE6 3JU,Yes,51.43548,-0.025507,537343,172569,TQ373725,1/1/1980 12:00:00 AM,,20
SE6 3JW,Yes,51.436148,-0.025147,537366,172644,TQ373726,1/1/1980 12:00:00 AM,,20
SE6 3JX,Yes,51.436419,-0.02574,537324,172673,TQ373726,1/1/1980 12:00:00 AM,,20
SE6 3JY,Yes,51.436606,-0.026164,537294,172693,TQ372726,1/1/1980 12:00:00 AM,,19
SE6 3JZ,Yes,51.434929,-0.02648,537277,172506,TQ372725,1/1/1980 12:00:00 AM,,20
SE6 3LA,Yes,51.433993,-0.027456,537212,172400,TQ372724,1/1/1980 12:00:00 AM,,20
SE6 3LB,Yes,51.434328,-0.026017,537311,172440,TQ373724,1/1/1980 12:00:00 AM,,21
SE6 3LD,Yes,51.433726,-0.024432,537423,172376,TQ374723,1/1/1980 12:00:00 AM,,21
SE6 3LE,Yes,51.434188,-0.021462,537628,172433,TQ376724,1/1/1980 12:00:00 AM,,21
SE6 3LL,Yes,51.428049,-0.029611,537080,171735,TQ370717,1/1/1980 12:00:00 AM,,31
SE6 3LN,Yes,51.427938,-0.028882,537131,171724,TQ371717,1/1/1980 12:00:00 AM,,33
