Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE10 8EU,Yes,51.472197,-0.012763,538118,176676,TQ381766,10/1/2012 12:00:00 AM,,23
SE10 8FF,Yes,51.472217,-0.01233,538148,176679,TQ381766,10/1/2012 12:00:00 AM,,25
SE10 8FJ,Yes,51.472219,-0.011941,538175,176680,TQ381766,11/1/2012 12:00:00 AM,,27
SE10 8FL,Yes,51.470711,-0.014181,538024,176508,TQ380765,7/1/2012 12:00:00 AM,,19
SE10 8FN,Yes,51.470964,-0.013752,538053,176537,TQ380765,7/1/2012 12:00:00 AM,,19
SE10 8FP,Yes,51.4712,-0.014419,538006,176562,TQ380765,7/1/2012 12:00:00 AM,,18
SE10 8FW,Yes,51.471141,-0.014104,538028,176556,TQ380765,7/1/2012 12:00:00 AM,,18
SE10 8FY,Yes,51.471895,-0.014561,537994,176639,TQ379766,3/1/2015 12:00:00 AM,,17
SE10 8FZ,Yes,51.471652,-0.013463,538071,176614,TQ380766,7/1/2016 12:00:00 AM,,17
SE10 8GB,Yes,51.472042,-0.013691,538054,176657,TQ380766,7/1/2016 12:00:00 AM,,16
SE10 8GE,Yes,51.471439,-0.013674,538057,176590,TQ380765,7/1/2016 12:00:00 AM,,16
SE10 8GF,Yes,51.471663,-0.014672,537987,176613,TQ379766,3/1/2015 12:00:00 AM,,17
SE12 0AA,Yes,51.449266,0.013068,539982,174175,TQ399741,1/1/1980 12:00:00 AM,,24
SE12 0AB,Yes,51.449574,0.012938,539972,174209,TQ399742,1/1/1980 12:00:00 AM,,23
SE12 0AD,Yes,51.449781,0.013983,540044,174234,TQ400742,1/1/1980 12:00:00 AM,,24
SE12 0AE,Yes,51.447524,0.013956,540049,173983,TQ400739,1/1/1980 12:00:00 AM,,30
SE12 0AF,Yes,51.446609,0.014851,540114,173883,TQ401738,1/1/1980 12:00:00 AM,,35
SE12 0AG,Yes,51.446838,0.014602,540096,173908,TQ400739,10/1/1985 12:00:00 AM,,34
SE12 0AH,Yes,51.443919,0.017553,540310,173589,TQ403735,1/1/1980 12:00:00 AM,,45
SE12 0AJ,Yes,51.443691,0.017745,540324,173564,TQ403735,1/1/1980 12:00:00 AM,,46
SE12 0AL,Yes,51.44163,0.020445,540518,173340,TQ405733,7/1/1983 12:00:00 AM,,53
SE12 0AN,Yes,51.442361,0.019269,540434,173419,TQ404734,1/1/1980 12:00:00 AM,,51
SE12 0AP,Yes,51.441511,0.020009,540488,173326,TQ404733,12/1/2000 12:00:00 AM,,53
SE12 0AQ,Yes,51.444991,0.016406,540227,173706,TQ402737,1/1/1980 12:00:00 AM,,41
SE12 0AR,Yes,51.444259,0.017151,540281,173626,TQ402736,3/1/1982 12:00:00 AM,,45
SE12 0AS,Yes,51.441668,0.019785,540472,173343,TQ404733,7/1/1983 12:00:00 AM,,53
SE12 0AT,No,51.4413,0.018733,540400,173300,TQ404733,1/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,51
SE12 0AU,No,51.441119,0.015617,540184,173274,TQ401732,7/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,41
SE12 0AW,Yes,51.442069,0.019486,540450,173387,TQ404733,1/1/1980 12:00:00 AM,,52
SE12 0AZ,Yes,51.444978,0.017168,540280,173706,TQ402737,1/1/1995 12:00:00 AM,,42
SE12 0BA,Yes,51.432891,0.021873,540644,172371,TQ406723,7/1/1990 12:00:00 AM,,49
SE12 0BD,Yes,51.432845,0.022978,540721,172368,TQ407723,5/1/1994 12:00:00 AM,,47
SE12 0BE,Yes,51.43591,0.019977,540503,172703,TQ405727,1/1/1980 12:00:00 AM,,54
SE12 0BG,Yes,51.434502,0.021829,540636,172550,TQ406725,1/1/1980 12:00:00 AM,,49
SE12 0BH,Yes,51.433833,0.021483,540614,172475,TQ406724,1/1/1980 12:00:00 AM,,49
SE12 0BJ,Yes,51.432233,0.021959,540652,172298,TQ406722,6/1/1981 12:00:00 AM,,49
SE12 0BL,Yes,51.433184,0.022101,540659,172404,TQ406724,1/1/1980 12:00:00 AM,,49
SE12 0BN,No,51.432264,0.021212,540600,172300,TQ406723,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,49
SE12 0BP,Yes,51.432516,0.022259,540672,172330,TQ406723,1/1/1980 12:00:00 AM,,49
SE12 0BQ,Yes,51.43446,0.021136,540588,172544,TQ405725,1/1/1980 12:00:00 AM,,50
SE12 0BS,Yes,51.433526,0.024145,540800,172446,TQ408724,1/1/1980 12:00:00 AM,,44
SE12 0BT,Yes,51.433824,0.024115,540797,172479,TQ407724,1/1/1980 12:00:00 AM,,44
SE12 0BU,Yes,51.435451,0.02364,540759,172659,TQ407726,1/1/1980 12:00:00 AM,,44
SE12 0BW,Yes,51.431771,0.022715,540706,172248,TQ407722,6/1/1981 12:00:00 AM,,47
SE12 0BX,Yes,51.435782,0.022662,540690,172694,TQ406726,1/1/1980 12:00:00 AM,,47
SE12 0BY,Yes,51.434681,0.022887,540709,172572,TQ407725,1/1/1980 12:00:00 AM,,47
SE12 0BZ,Yes,51.433666,0.022842,540709,172459,TQ407724,1/1/1980 12:00:00 AM,,48
SE12 0DA,Yes,51.433436,0.021566,540621,172431,TQ406724,1/1/1980 12:00:00 AM,,48
SE12 0DB,Yes,51.433413,0.023406,540749,172432,TQ407724,12/1/1999 12:00:00 AM,,47
