Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB5 6QA,No,51.534063,-0.388252,511889,182915,TQ118829,12/1/1995 12:00:00 AM,12/1/1999 12:00:00 AM,35,,
UB5 6QB,Yes,51.53716,-0.394322,511460,183250,TQ114832,1/1/1980 12:00:00 AM,,35,11,4
UB5 6QD,Yes,51.537216,-0.39525,511396,183255,TQ113832,1/1/1980 12:00:00 AM,,35,36,15
UB5 6QE,Yes,51.537754,-0.396456,511311,183313,TQ113833,1/1/1980 12:00:00 AM,,34,14,6
UB5 6QF,Yes,51.537627,-0.396374,511317,183299,TQ113832,1/1/1980 12:00:00 AM,,34,15,4
UB5 6QG,Yes,51.537774,-0.395166,511400,183317,TQ114833,1/1/1980 12:00:00 AM,,36,60,31
UB5 6QH,Yes,51.536918,-0.397106,511268,183219,TQ112832,1/1/1980 12:00:00 AM,,34,122,50
UB5 6QJ,Yes,51.537572,-0.398294,511184,183290,TQ111832,1/1/1980 12:00:00 AM,,35,121,50
UB5 6QL,Yes,51.536436,-0.395407,511387,183168,TQ113831,1/1/1980 12:00:00 AM,,35,47,15
UB5 6QN,Yes,51.534274,-0.397804,511226,182924,TQ112829,1/1/1980 12:00:00 AM,,34,86,29
UB5 6QP,Yes,51.536357,-0.398178,511195,183155,TQ111831,1/1/1980 12:00:00 AM,,33,37,21
UB5 6QQ,Yes,51.538636,-0.396541,511303,183411,TQ113834,1/1/1980 12:00:00 AM,,36,48,20
UB5 6QR,Yes,51.53491,-0.396282,511330,182997,TQ113829,1/1/1980 12:00:00 AM,,35,76,27
UB5 6QS,Yes,51.538226,-0.397464,511240,183364,TQ112833,1/1/1980 12:00:00 AM,,36,25,10
UB5 6QW,Yes,51.535509,-0.397357,511254,183062,TQ112830,1/1/1980 12:00:00 AM,,33,76,25
UB5 6QY,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/1995 12:00:00 AM,7/1/2006 12:00:00 AM,42,,
UB5 6QZ,Yes,51.54222,-0.398174,511181,183807,TQ111838,5/1/2006 12:00:00 AM,,43,3,1
UB5 6RA,Yes,51.542346,-0.402842,510857,183814,TQ108838,1/1/1980 12:00:00 AM,,46,6,2
UB5 6RE,Yes,51.546918,-0.397216,511236,184331,TQ112843,1/1/1980 12:00:00 AM,,35,,
UB5 6RH,No,51.534063,-0.388252,511889,182915,TQ118829,1/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,35,,
UB5 6RJ,No,51.530794,-0.376877,512686,182569,TQ126825,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,33,,
UB5 6RL,No,51.531969,-0.376634,512700,182700,TQ126826,1/1/1980 12:00:00 AM,11/1/2002 12:00:00 AM,32,,
UB5 6RN,Yes,51.532399,-0.376532,512706,182748,TQ127827,1/1/1980 12:00:00 AM,,32,38,14
UB5 6RP,Yes,51.53191,-0.377544,512637,182692,TQ126826,1/1/1980 12:00:00 AM,,32,112,44
UB5 6RR,Yes,51.532255,-0.37782,512617,182730,TQ126827,1/1/1980 12:00:00 AM,,32,35,21
UB5 6RS,Yes,51.532377,-0.378811,512548,182742,TQ125827,1/1/1980 12:00:00 AM,,32,71,32
UB5 6RT,Yes,51.53154,-0.392494,511601,182628,TQ116826,8/1/1992 12:00:00 AM,,33,13,5
UB5 6RU,Yes,51.531398,-0.391317,511683,182614,TQ116826,8/1/1992 12:00:00 AM,,34,81,38
UB5 6RW,Yes,51.532181,-0.376987,512675,182723,TQ126827,1/1/1980 12:00:00 AM,,32,100,45
UB5 6RX,Yes,51.53192,-0.391341,511680,182672,TQ116826,8/1/1992 12:00:00 AM,,34,99,49
UB5 6RY,Yes,51.532146,-0.390814,511716,182698,TQ117826,8/1/1992 12:00:00 AM,,34,83,42
UB5 6RZ,Yes,51.531599,-0.39092,511710,182637,TQ117826,8/1/1992 12:00:00 AM,,34,87,45
UB5 6SA,No,51.533465,-0.379493,512498,182862,TQ124828,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,32,94,45
UB5 6SB,Yes,51.534098,-0.379716,512481,182932,TQ124829,1/1/1980 12:00:00 AM,,31,92,30
UB5 6SD,Yes,51.53487,-0.378953,512532,183019,TQ125830,1/1/1980 12:00:00 AM,,32,102,33
UB5 6SE,No,51.535579,-0.378856,512537,183098,TQ125830,1/1/1980 12:00:00 AM,2/1/2016 12:00:00 AM,32,93,34
