Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
IG1 3WS,No,51.55807,0.072373,543760,186389,TQ437863,3/1/2003 12:00:00 AM,11/1/2003 12:00:00 AM,16,,
IG1 3WT,No,51.55807,0.072373,543760,186389,TQ437863,3/1/2003 12:00:00 AM,5/1/2006 12:00:00 AM,16,,
IG1 3WU,No,51.55807,0.072373,543760,186389,TQ437863,10/1/2003 12:00:00 AM,11/1/2006 12:00:00 AM,16,,
IG1 3WW,No,51.55807,0.072373,543760,186389,TQ437863,2/1/2004 12:00:00 AM,8/1/2005 12:00:00 AM,16,,
IG1 3WX,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3WY,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2002 12:00:00 AM,6/1/2004 12:00:00 AM,16,,
IG1 3WZ,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2002 12:00:00 AM,5/1/2004 12:00:00 AM,16,,
IG1 3XA,No,51.55807,0.072373,543760,186389,TQ437863,5/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3XB,No,51.55807,0.072373,543760,186389,TQ437863,10/1/2003 12:00:00 AM,11/1/2006 12:00:00 AM,16,,
IG1 3XD,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3XE,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3XF,Yes,51.55807,0.072373,543760,186389,TQ437863,7/1/2003 12:00:00 AM,,16,,
IG1 3XG,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,6/1/2014 12:00:00 AM,16,,
IG1 3XH,No,51.55807,0.072373,543760,186389,TQ437863,3/1/2004 12:00:00 AM,5/1/2006 12:00:00 AM,16,,
IG1 3XJ,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3XL,No,51.55807,0.072373,543760,186389,TQ437863,4/1/2004 12:00:00 AM,10/1/2005 12:00:00 AM,16,,
IG1 3XN,No,51.55807,0.072373,543760,186389,TQ437863,8/1/2004 12:00:00 AM,9/1/2010 12:00:00 AM,16,,
IG1 3XQ,No,51.55807,0.072373,543760,186389,TQ437863,7/1/2002 12:00:00 AM,8/1/2004 12:00:00 AM,16,,
IG1 3XR,No,51.55807,0.072373,543760,186389,TQ437863,9/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3XT,No,51.55807,0.072373,543760,186389,TQ437863,7/1/2004 12:00:00 AM,9/1/2005 12:00:00 AM,16,,
IG1 3XY,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3XZ,No,51.55807,0.072373,543760,186389,TQ437863,7/1/2003 12:00:00 AM,11/1/2006 12:00:00 AM,16,,
IG1 3YB,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3YE,No,51.55807,0.072373,543760,186389,TQ437863,9/1/2002 12:00:00 AM,3/1/2004 12:00:00 AM,16,,
IG1 3YF,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2004 12:00:00 AM,1/1/2006 12:00:00 AM,16,,
IG1 3YL,No,51.55807,0.072373,543760,186389,TQ437863,8/1/2002 12:00:00 AM,1/1/2006 12:00:00 AM,16,,
