Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
E9 6NA,Yes,51.545897,-0.053801,535050,184795,TQ350847,1/1/1980 12:00:00 AM,,16,35,16
E9 6NB,Yes,51.543205,-0.052517,535147,184498,TQ351844,11/1/2008 12:00:00 AM,,20,15,9
E9 6ND,Yes,51.546922,-0.05269,535124,184911,TQ351849,1/1/1980 12:00:00 AM,,17,22,11
E9 6NE,Yes,51.543302,-0.052412,535154,184509,TQ351845,5/1/2009 12:00:00 AM,,20,15,4
E9 6NF,No,51.54593,-0.053079,535100,184800,TQ350848,7/1/1986 12:00:00 AM,12/1/1988 12:00:00 AM,17,,
E9 6NG,Yes,51.545737,-0.051746,535193,184781,TQ351847,1/1/1980 12:00:00 AM,,20,90,50
E9 6NH,No,51.54593,-0.053079,535100,184800,TQ350848,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,17,,
E9 6NJ,No,51.546214,-0.051754,535191,184834,TQ351848,1/1/1980 12:00:00 AM,7/1/2014 12:00:00 AM,19,,
E9 6NL,No,51.545055,-0.054558,535000,184700,TQ350846,2/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,19,,
E9 6NN,Yes,51.544812,-0.051281,535228,184679,TQ352846,1/1/1980 12:00:00 AM,,18,87,35
E9 6NP,Yes,51.544813,-0.054064,535035,184674,TQ350846,1/1/1980 12:00:00 AM,,19,,
E9 6NQ,Yes,51.546061,-0.051775,535190,184817,TQ351848,1/1/1980 12:00:00 AM,,20,,
E9 6NR,Yes,51.544465,-0.052622,535136,184638,TQ351846,1/1/1980 12:00:00 AM,,18,,
E9 6NS,Yes,51.545724,-0.05316,535095,184777,TQ350847,1/1/1980 12:00:00 AM,,17,146,57
E9 6NT,Yes,51.545019,-0.05293,535113,184699,TQ351846,1/1/1980 12:00:00 AM,,17,116,44
E9 6NU,Yes,51.545638,-0.054447,535006,184765,TQ350847,1/1/1980 12:00:00 AM,,17,,
E9 6NW,No,51.544156,-0.054597,535000,184600,TQ349845,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,19,,
E9 6NX,Yes,51.545258,-0.054305,535017,184723,TQ350847,1/1/1980 12:00:00 AM,,18,90,47
E9 6NY,Yes,51.545718,-0.051155,535234,184780,TQ352847,12/1/2015 12:00:00 AM,,21,,
E9 6PA,No,51.546619,-0.04803,535448,184886,TQ354848,12/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,14,,
E9 6PB,Yes,51.544631,-0.050149,535307,184661,TQ353846,2/1/2011 12:00:00 AM,,17,,
E9 6PD,No,51.545954,-0.05452,535000,184800,TQ350848,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,16,,
E9 6PE,Yes,51.544631,-0.050149,535307,184661,TQ353846,1/1/1980 12:00:00 AM,,17,132,54
E9 6PF,No,51.545906,-0.051638,535200,184800,TQ351848,7/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,21,,
E9 6PG,Yes,51.54631,-0.052673,535127,184843,TQ351848,1/1/1980 12:00:00 AM,,18,156,69
E9 6PH,Yes,51.545017,-0.052267,535159,184700,TQ351846,1/1/1980 12:00:00 AM,,17,126,60
E9 6PJ,No,51.545031,-0.053117,535100,184700,TQ351846,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,17,,
E9 6PN,No,51.542465,-0.051857,535195,184417,TQ351844,1/1/1980 12:00:00 AM,9/1/2008 12:00:00 AM,21,,
E9 6PP,Yes,51.542621,-0.050913,535260,184436,TQ352844,1/1/1980 12:00:00 AM,,20,183,62
E9 6PQ,Yes,51.545594,-0.052358,535151,184764,TQ351847,1/1/1980 12:00:00 AM,,19,138,60
E9 6PR,Yes,51.542621,-0.050913,535260,184436,TQ352844,1/1/1980 12:00:00 AM,,20,134,52
E9 6PS,No,51.542539,-0.05357,535076,184422,TQ350844,1/1/1980 12:00:00 AM,5/1/2009 12:00:00 AM,22,,
E9 6PT,Yes,51.542683,-0.054155,535035,184437,TQ350844,1/1/1980 12:00:00 AM,,21,123,49
E9 6PU,Yes,51.542683,-0.054155,535035,184437,TQ350844,1/1/1980 12:00:00 AM,,21,92,43
E9 6PW,Yes,51.543246,-0.050107,535314,184507,TQ353845,1/1/1980 12:00:00 AM,,18,23,15
E9 6PX,Yes,51.542863,-0.05308,535109,184459,TQ351844,1/1/1980 12:00:00 AM,,21,14,11
E9 6PY,No,51.542863,-0.05308,535109,184459,TQ351844,1/1/1980 12:00:00 AM,4/1/2012 12:00:00 AM,21,49,25
E9 6PZ,Yes,51.543344,-0.051156,535241,184516,TQ352845,1/1/1980 12:00:00 AM,,19,94,39
E9 6QA,Yes,51.542977,-0.052368,535158,184473,TQ351844,1/1/1980 12:00:00 AM,,20,,
E9 6QB,Yes,51.54389,-0.052632,535137,184574,TQ351845,1/1/1980 12:00:00 AM,,19,57,22
E9 6QD,Yes,51.543695,-0.051689,535203,184554,TQ352845,1/1/1980 12:00:00 AM,,19,39,17
E9 6QE,Yes,51.543344,-0.051156,535241,184516,TQ352845,1/1/1980 12:00:00 AM,,19,106,42
E9 6QF,Yes,51.543344,-0.051156,535241,184516,TQ352845,1/1/1980 12:00:00 AM,,19,101,39
E9 6QG,Yes,51.543132,-0.054092,535038,184487,TQ350844,1/1/1980 12:00:00 AM,,19,118,36
E9 6QH,Yes,51.544065,-0.051675,535203,184595,TQ352845,1/1/1980 12:00:00 AM,,19,146,87
E9 6QJ,Yes,51.542842,-0.051797,535198,184459,TQ351844,1/1/1980 12:00:00 AM,,20,33,29
E9 6QL,Yes,51.542977,-0.052368,535158,184473,TQ351844,1/1/1980 12:00:00 AM,,20,78,40
E9 6QN,Yes,51.543566,-0.053699,535064,184536,TQ350845,6/1/2000 12:00:00 AM,,19,114,90
E9 6QP,No,51.54661,-0.048031,535448,184885,TQ354848,2/1/1990 12:00:00 AM,12/1/1997 12:00:00 AM,14,,
E9 6QQ,Yes,51.543691,-0.053102,535105,184551,TQ351845,1/1/1980 12:00:00 AM,,19,75,36
E9 6QR,No,51.546619,-0.04803,535448,184886,TQ354848,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,14,,
E9 6QS,No,51.546619,-0.04803,535448,184886,TQ354848,7/1/1995 12:00:00 AM,12/1/1998 12:00:00 AM,14,,
E9 6QT,Yes,51.544168,-0.046621,535553,184616,TQ355846,1/1/1980 12:00:00 AM,,15,47,19
E9 6QU,Yes,51.54338,-0.047924,535465,184526,TQ354845,1/1/1980 12:00:00 AM,,16,49,29
E9 6QW,Yes,51.543402,-0.049235,535374,184526,TQ353845,11/1/2003 12:00:00 AM,,17,18,12
E9 6QX,Yes,51.542517,-0.047961,535465,184430,TQ354844,4/1/1986 12:00:00 AM,,17,12,12
E9 6QY,Yes,51.543033,-0.049094,535385,184485,TQ353844,1/1/1980 12:00:00 AM,,17,,
E9 6QZ,No,51.543334,-0.048921,535396,184519,TQ353845,1/1/1980 12:00:00 AM,9/1/2003 12:00:00 AM,17,,
E9 6RA,No,51.543318,-0.048503,535425,184518,TQ354845,4/1/1986 12:00:00 AM,8/1/1997 12:00:00 AM,16,,
E9 6RD,Yes,51.543318,-0.048503,535425,184518,TQ354845,1/1/1980 12:00:00 AM,,16,41,15
